FIPS,# of Food Insecure Persons Overall (1 Year)
39047,4440
39049,164190
39051,4500
39053,4730
39055,7800
39057,18660
39059,6240
39061,101790
39063,8520
39065,4340
39067,2310
39069,2870
39071,7110
39073,3920
39075,3820
39077,7810
39079,5170
39081,10680
39083,7340
39085,25840
39087,10470
39089,19950
39091,5350
39093,40550
39095,68350
39097,4770
39099,34870
39101,9080
39103,16830
39105,4130
39107,3390
39109,11500
39111,2240
39113,75810
39115,2370
39117,3870
39119,12310
39121,2210
39123,4810
39125,2250
39127,5580
39129,7550
39131,5050
39133,18970
39135,4620
39137,2840
39139,17290
39141,11880
39143,7450
39145,14360
39147,7110
39149,5850
39151,48510
39153,67760
39155,31610
39157,12010
39159,4540
39161,3120
39163,2260
39165,18960
39167,8710
39169,12770
39171,4560
39173,14990
39175,2390
40001,4200
40003,630
40005,2300
40007,430
40009,3330
40011,1180
40013,7260
40015,4400
40017,14310
40019,7500
40021,8140
40023,2890
40025,280
40027,32010
40029,1040
40031,18040
40033,960
40035,2270
40037,9390
40039,3490
40041,6680
40043,590
40045,540
40047,8070
40049,3880
40051,6770
40053,480
40055,900
40057,320
40059,500
40061,2270
40063,2270
40065,3090
40067,1050
40069,1920
40071,6740
40073,1500
40075,1470
40077,1820
40079,8530
40081,4800
40083,5200
40085,1330
40087,3940
40089,5880
40091,3730
40093,930
40095,2470
40097,6330
40099,2150
40101,11040
40103,1280
40105,1480
40107,2190
40109,103470
40111,6160
40113,6290
40115,5150
40117,2300
40119,12240
40121,7350
40123,5040
40125,10370
40127,1990
40129,470
40131,10370
40133,4610
40135,7040
40137,6620
40139,2340
40141,1160
40143,85400
40145,9370
40147,6800
40149,1460
40151,1040
40153,2630
41001,2120
41003,9300
41005,34480
41007,4960
41009,5380
41011,9350
41013,2740
41015,2990
41017,18880
41019,13750
41021,220
41023,1030
41025,730
41027,1370
41029,25240
41031,2920
41033,11760
41035,9940
41037,1040
41039,49840
41041,7580
41043,14910
41045,3790
41047,36390
41049,1070
41051,93380
41053,8160
41055,190
41057,3170
41059,8490
41061,3100
41063,770
41065,2840
41067,47560
41069,160
41071,10380
42001,8410
42003,131440
42005,7920
42007,18690
42009,5460
42011,42640
42013,15390
42015,6770
42017,45970
42019,16350
42021,17350
42023,770
42025,7670
42027,13660
42029,31270
42031,4780
42033,10260
42035,5000
42037,7400
42039,10510
42041,20020
42043,28100
42045,51730
42047,3740
42049,35210
42051,19880
42053,1070
42055,15010
42057,1810
42059,4650
42061,5230
42063,10650
42065,5360
42067,2350
42069,26690
42071,47150
42073,10980
42075,13750
42077,38970
42079,41060
42081,13830
42083,5840
42085,14740
42087,5580
42089,17580
42091,58060
42093,1740
42095,27060
42097,11340
42099,3950
42101,249890
42103,5710
42105,2020
42107,17520
42109,4020
42111,8330
42113,660
42115,4360
42117,5010
42119,4230
42121,6660
42123,4470
42125,21630
42127,5800
42129,36790
42131,2800
42133,39970
44001,3660
44003,15410
44005,6940
44007,73580
44009,9170
45001,2790
45003,15390
45005,1390
45007,20630
45009,1740
45011,3340
45013,13950
45015,18830
45017,1660
45019,36810
45021,7290
45023,4030
45025,5830
45027,4340
45029,4200
45031,8760
45033,4660
45035,13880
45037,2510
45039,2440
45041,13900
45043,6730
45045,44670
45047,8240
45049,1850
45051,41450
45053,2910
45055,6530
45057,8720
45059,8730
45061,2280
45063,24020
45065,980
45067,3900
45069,4620
45071,3770
45073,8970
45075,11210
45077,12770
45079,39040
45081,1960
45083,32870
45085,11890
45087,3930
45089,4130
45091,20450
46003,140
46005,1670
46007,530
46009,660
46011,2820
46013,2980
46015,580
46017,430
46019,860
46021,80
